,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,account_age_days,account_type
30,0,0,1861,356,4412,1,2611,0,2234,1
38,1,0,1951,6,43,0,2633,0,2953,1
42,1,0,799,16,12,0,1172,0,4415,1
45,0,0,20442,1630092,4946,1,68901,1,4205,1
56,1,0,2359,23,69,0,3663,0,3818,1
74,0,0,3589,109,0,1,7127,0,2760,1
90,1,0,349,21,0,0,60,0,2335,1
123,1,0,1464,50,0,0,2141,0,3590,1
129,0,0,1185,10,0,0,1268,0,2245,1
135,1,0,18,0,0,0,172,0,1155,1
137,1,0,1126,18,0,0,1633,0,3135,1
175,1,0,0,772,1106,0,72034,0,2978,1
210,1,0,62,49,306,0,105,0,908,1
225,0,0,513,2647393,912,1,222306,1,4925,1
254,1,0,55510,478,974,0,79189,0,1878,1
260,0,0,13135,142624,118717,1,126591,0,3169,1
275,1,0,0,834,824,0,16498,0,2689,1
288,1,1,19,2,0,0,22,0,3549,1
293,1,0,277,18,236,0,44,0,953,1
298,0,0,10548,184933,3759,0,21362,1,4083,1
329,1,0,2366,112,244,0,3524,0,2806,1
334,0,0,2460,21,0,0,3425,0,3669,1
341,0,0,1,166,89,1,12497,0,3809,1
344,1,0,2252,53,0,1,3339,0,2601,1
379,1,0,2351,26,62,1,3191,0,2341,1
387,0,0,1910,952,869,0,43245,0,3576,1
392,1,0,1170,5,46,0,1667,0,2000,1
402,1,1,78,3,0,0,122,0,3408,1
413,1,0,23,1,0,0,254,0,1155,1
429,0,0,1209,33,44,0,1943,0,2735,1
439,0,0,2037,48,0,0,2791,0,3042,1
472,0,0,4740,363,2213,0,23718,0,4154,1
477,1,0,1227,12,0,0,1227,0,1463,1
493,1,0,1212,363,1278,0,3299,0,4156,1
513,0,0,579,7,0,0,826,0,3703,1
535,0,0,1003,13,0,1,1452,0,4036,1
569,1,0,1164,593,4813,0,12744,0,4096,1
606,1,0,338,20,0,0,21,0,3176,1
614,1,0,210,7,15,0,48,0,1419,1
630,0,0,12,159,3,0,8022,0,810,1
665,1,0,11,7,968,0,30,0,2409,1
666,1,0,1024,12,6,0,1414,0,3834,1
682,1,0,0,10,0,0,309,0,758,1
724,1,0,175,7,0,0,30,0,2845,1
756,1,0,215,8,0,0,33,0,2808,1
798,0,0,2338,129,485,0,3301,0,3639,1
803,0,0,2489,75,313,1,1829,0,3431,1
818,1,0,529,293,1944,1,1244,0,2298,1
821,0,0,1947,182,1088,1,13,0,3852,1
824,1,0,5950,675,1143,0,10924,0,2184,1
